City,City Code
Makati City,1
Mandaluyong City,2
Pasay City,3
Pasig City,4
Quezon City,5
San Juan City,6
Santa Rosa,7
Tagaytay City,8
Taguig City,9
BrasÌ_lia,10
Rio de Janeiro,11
SÌ£o Paulo,12
Albany,13
Armidale,14
Athens,15
Augusta,16
Balingup,17
Beechworth,18
Boise,19
Cedar Rapids/Iowa City,20
Chatham-Kent,21
Clatskanie,22
Cochrane,23
Columbus,24
Consort,25
Dalton,26
Davenport,27
Des Moines,28
Dicky Beach,29
Dubuque,30
East Ballina,31
Fernley,32
Flaxton,33
Forrest,34
Gainesville,35
Hepburn Springs,36
Huskisson,37
Inverloch,38
Lakes Entrance,39
Lakeview,40
Lincoln,41
Lorn,42
Macedon,43
Macon,44
Mayfield,45
Mc Millan,46
Middleton Beach,47
Miller,48
Monroe,49
Montville,50
Ojo Caliente,51
Orlando,52
Palm Cove,53
Paynesville,54
Penola,55
Pensacola,56
Phillip Island,57
Pocatello,58
Potrero,59
Princeton,60
Rest of Hawaii,61
Savannah,62
Singapore,63
Sioux City,64
Tampa Bay,65
Tanunda,66
Trentham East,67
Valdosta,68
Vernonia,69
Victor Harbor,70
Vineland Station,71
Waterloo,72
Weirton,73
Winchester Bay,74
Yorkton,75
Abu Dhabi,76
Dubai,77
Sharjah,78
Agra,79
Ahmedabad,80
Allahabad,81
Amritsar,82
Aurangabad,83
Bangalore,84
Bhopal,85
Bhubaneshwar,86
Chandigarh,87
Chennai,88
Coimbatore,89
Dehradun,90
Faridabad,91
Ghaziabad,92
Goa,93
Gurgaon,94
Guwahati,95
Hyderabad,96
Indore,97
Jaipur,98
Kanpur,99
Kochi,100
Kolkata,101
Lucknow,102
Ludhiana,103
Mangalore,104
Mohali,105
Mumbai,106
Mysore,107
Nagpur,108
Nashik,109
New Delhi,110
Noida,111
Panchkula,112
Patna,113
Puducherry,114
Pune,115
Ranchi,116
Secunderabad,117
Surat,118
Vadodara,119
Varanasi,120
Vizag,121
Bandung,122
Bogor,123
Jakarta,124
Tangerang,125
Auckland,126
Wellington City,127
Birmingham,128
Edinburgh,129
London,130
Manchester,131
Doha,132
Cape Town,133
Inner City,134
Johannesburg,135
Pretoria,136
Randburg,137
Sandton,138
Colombo,139
Ankara,140
€¡stanbul,141
